           sample     id                                                                      file    MSA        disp   pointing  ext  redshift  alias                                                                                                  file_path
51    CEERs_DR0.7     22   hlsp_ceers_jwst_nirspec_nirspec4-000022_comb-mgrat_v0.7_x1d-masked.fits     22  comb-mgrat   nirspec4  x1d       NaN    NaN    CEERs_DR0.7/nirspec4/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec4-000022_comb-mgrat_v0.7_x1d-masked.fits
52    CEERs_DR0.7     22               hlsp_ceers_jwst_nirspec_nirspec4-000022_g140m_v0.7_s2d.fits     22       g140m   nirspec4  s2d       NaN    NaN                     CEERs_DR0.7/nirspec4/g140m/hlsp_ceers_jwst_nirspec_nirspec4-000022_g140m_v0.7_s2d.fits
53    CEERs_DR0.7     22        hlsp_ceers_jwst_nirspec_nirspec4-000022_g140m_v0.7_x1d-masked.fits     22       g140m   nirspec4  x1d       NaN    NaN              CEERs_DR0.7/nirspec4/g140m/hlsp_ceers_jwst_nirspec_nirspec4-000022_g140m_v0.7_x1d-masked.fits
54    CEERs_DR0.7     22               hlsp_ceers_jwst_nirspec_nirspec4-000022_g235m_v0.7_s2d.fits     22       g235m   nirspec4  s2d       NaN    NaN                     CEERs_DR0.7/nirspec4/g235m/hlsp_ceers_jwst_nirspec_nirspec4-000022_g235m_v0.7_s2d.fits
55    CEERs_DR0.7     22        hlsp_ceers_jwst_nirspec_nirspec4-000022_g235m_v0.7_x1d-masked.fits     22       g235m   nirspec4  x1d       NaN    NaN              CEERs_DR0.7/nirspec4/g235m/hlsp_ceers_jwst_nirspec_nirspec4-000022_g235m_v0.7_x1d-masked.fits
56    CEERs_DR0.7     22               hlsp_ceers_jwst_nirspec_nirspec4-000022_g395m_v0.7_s2d.fits     22       g395m   nirspec4  s2d       NaN    NaN                     CEERs_DR0.7/nirspec4/g395m/hlsp_ceers_jwst_nirspec_nirspec4-000022_g395m_v0.7_s2d.fits
57    CEERs_DR0.7     22        hlsp_ceers_jwst_nirspec_nirspec4-000022_g395m_v0.7_x1d-masked.fits     22       g395m   nirspec4  x1d       NaN    NaN              CEERs_DR0.7/nirspec4/g395m/hlsp_ceers_jwst_nirspec_nirspec4-000022_g395m_v0.7_x1d-masked.fits
58    CEERs_DR0.7     22               hlsp_ceers_jwst_nirspec_nirspec4-000022_prism_v0.7_s2d.fits     22       prism   nirspec4  s2d       NaN    NaN                     CEERs_DR0.7/nirspec4/prism/hlsp_ceers_jwst_nirspec_nirspec4-000022_prism_v0.7_s2d.fits
59    CEERs_DR0.7     22        hlsp_ceers_jwst_nirspec_nirspec4-000022_prism_v0.7_x1d-masked.fits     22       prism   nirspec4  x1d       NaN    NaN              CEERs_DR0.7/nirspec4/prism/hlsp_ceers_jwst_nirspec_nirspec4-000022_prism_v0.7_x1d-masked.fits
60    CEERs_DR0.7     23         hlsp_ceers_jwst_nirspec_nirspec10-000023_comb-mgrat_v0.7_s2d.fits     23  comb-mgrat  nirspec10  s2d  8.878290    NaN         CEERs_DR0.7/nirspec10/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec10-000023_comb-mgrat_v0.7_s2d.fits
61    CEERs_DR0.7     23  hlsp_ceers_jwst_nirspec_nirspec10-000023_comb-mgrat_v0.7_x1d-masked.fits     23  comb-mgrat  nirspec10  x1d  8.878290    NaN  CEERs_DR0.7/nirspec10/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec10-000023_comb-mgrat_v0.7_x1d-masked.fits
